scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
"Hierophis viridiflavus (Lacépède, 1987)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Hierophis,species,ICZN,Brussels,BE,present,introduced,casual,,,,,1894,1967,Weiserbs and Jacob 2005,,Europe,TRUE,FALSE,FALSE,,,,5/7/2021,Loïc van Doorn,
"Testudo hermanni (Gmelin, 1789)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,1935,,Weiserbs and Jacob 2005,,Europe,TRUE,FALSE,FALSE,,,,5/7/2021,Loïc van Doorn,
"Podarcis siculus (Rafinesque-schmaltz, 1810)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,species,ICZN,Brussels,BE,present,introduced,casual,,,,,1998,1998,Weiserbs and Jacob 2005,,Southern Europe,TRUE,FALSE,FALSE,,,,5/7/2021,Loïc van Doorn,
"Bombina orientalis (Boulenger, 1890)",Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2009,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Asia,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Rhinella marina (Linnaeus, 1758)",Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2010,2019,SOS reptiel,,Central America,TRUE,FALSE,TRUE,,,,9/12/2020,Loïc van Doorn,
"Hyla meridionalis (Boettger, 1874)",Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,species,ICZN,Flanders,BE,present,introduced,casual,,,,,2020,2020,SOS reptiel,,Europe | Northern Africa,TRUE,FALSE,TRUE,,,,12/22/2020,Loïc van Doorn,
"Xenopus laevis (Daudin, 1802)",Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,species,ICZN,Flanders,BE,present,introduced,established,escape_research | escape_pet | release_other,research,pet,otherIntentionalRelease,2006,2022,"Hyla database | Vogelbescherming Vlaanderen | Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak","campus Drie Eiken Antwerp University, pond with 30 larvae, obs. Bart Vervust",Africa,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Lithobates catesbeianus (Shaw, 1802)",Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,species,ICZN,Flanders,BE,present,introduced,established,escape_pet | release_other,pet,otherIntentionalRelease,,1996,2020,"Adriaens et al. 2013 | Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Eastern North America,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Pelophylax cf bedriagae (Camerano, 1882)",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,species,ICZN,Flanders,BE,present,introduced,established,escape_pet | release_other,pet,otherIntentionalRelease,,2000,2020,"Holsbeek, G., Mergeay, J., Volckaert, F.A.M. et al. Genetic detection of multiple exotic water frog species in Belgium illustrates the need for monitoring and immediate action. Biol Invasions 12, 1459–1463 (2010). https://doi.org/10.1007/s10530-009-9570-9 | Hyla werkgroep | GBIF-waarnemingen",,Eastern and Southeastern mediterranean basin,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Pelophylax ridibundus (Pallas, 1771)",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,species,ICZN,Flanders,BE,present,introduced,established,stowaway_other | escape_pet | release_other,transportStowaway,pet,otherIntentionalRelease,1975,2020,"Holsbeek, G., Mergeay, J., Volckaert, F.A.M. et al. Genetic detection of multiple exotic water frog species in Belgium illustrates the need for monitoring and immediate action. Biol Invasions 12, 1459–1463 (2010). https://doi.org/10.1007/s10530-009-9570-9 | Hyla werkgroep | GBIF-waarnemingen",Putatively introduced by Bulgarian trucker in Wetteren Belgium in 1975,Europe | Asia,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Ambystoma macrodactylum (Baird, 1849)",Animalia,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,species,ICZN,Flanders,BE,present,introduced,casual,contaminant_nursery,contaminantNursery,,,2018,2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Pachytriton labiatus (Unterstein, 1930)",Animalia,Chordata,Amphibia,Urodela,Salamandridae,Pachytriton,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2001,2007,Hyla databank,,Asia,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Pleurodeles waltl Michahelles, 1830",Animalia,Chordata,Amphibia,Urodela,Salamandridae,Pleurodeles,species,ICZN,Flanders,BE,present,introduced,established,release_landscape_improvement,landscapeImprovement,,,2011,2012,https://www.natuurpunt.be/nieuws/spaanse-ribbensalamanders-weggevangen-neeroeteren-20120710,eradicated,Iberia | Morocco,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Salamandra atra (Laurenti, 1768)",Animalia,Chordata,Amphibia,Urodela,Salamandridae,Salamandra,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2017,2017,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Europe,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Salamandra salamandra gallaica (Seonane, 1884)",Animalia,Chordata,Amphibia,Urodela,Salamandridae,Salamandra,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2006,2006,Anonymus (2006). Waarneming van een Vuursalamander uit Portugal te Oostende. Hyla flits 2006/5 (september - december 2006),,Europe,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Triturus marmoratus (Latreille, 1800)",Animalia,Chordata,Amphibia,Urodela,Salamandridae,Triturus,species,ICZN,Flanders,BE,present,introduced,casual,release_landscape_improvement | escape_pet,landscapeImprovement,pet,,2018,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Southern Europe,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Siren intermedia (Barnes, 1826)",Animalia,Chordata,Amphibia,Urodela,Sirenidae,Siren,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_other,transportStowaway,,,2014,2014,SOS reptiel,in eel shipment,North America,FALSE,FALSE,TRUE,,,,9/12/2020,Loïc van Doorn,
"Caiman crocodilus (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2017,2017,SOS reptiel,,Central America | South America,TRUE,FALSE,TRUE,,,,9/12/2020,Loïc van Doorn,
"Agama agama (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2015,2020,SOS reptiel | Vogelbescherming Vlaanderen,,Africa,TRUE,FALSE,FALSE,,,,12/22/2020,Loïc van Doorn,
"Physignathus cocincinus (Cuvier, 1829)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Physignathus,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2012,2015,SOS reptiel | Vogelbescherming Vlaanderen,,Eastern Asia,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Pogona henrylawsoni (Wells and Wellington, 1985)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2020,2020,SOS reptiel,,Australia,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Pogona (Storr, 1982)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2015,2015,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,Australia,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
