scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
"Mauremys reevesii (Gray, 1831)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Mauremys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2014,2017,SOS reptiel | Vogelbescherming Vlaanderen,,Eastern Asia,TRUE,FALSE,TRUE,,,,9/12/2020,Loïc van Doorn,
"Mauremys (Gray, 1869)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Mauremys,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2018,2018,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Europe | Asia,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Pseudemys concinna (Le Conte, 1830)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2017,2017,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Pseudemys rubriventris (LeConte, 1830)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2015,2015,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Terrapene carolina (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2012,2012,Vogelbescherming Vlaanderen,,USA | Mexico,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Trachemys scripta (Thunberg In Schoepff, 1792)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,1975,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,North America,TRUE,FALSE,TRUE,,,,5/12/2018,Tim Adriaens,
"Trachemys scripta elegans (Wied, 1838)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,1975,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,North America,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Trachemys scripta scripta (Schoepff, 1792)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,1997,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,North America,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Trachemys scripta troostii (Holbrook, 1836)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2003,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,North America,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Sternotherus carinatus (Gray, 1856)",Animalia,Chordata,Reptilia,Testudines,Kinosternidae,Sternotherus,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2020,2020,SOS reptiel,,North America,TRUE,FALSE,TRUE,,,,12/22/2020,Loïc van Doorn,
"Pelusios castaneus (Schweigger, 1812)",Animalia,Chordata,Reptilia,Testudines,Pelomedusidae,Pelusios,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2020,2020,SOS reptiel,,Africa,TRUE,FALSE,TRUE,,,,9/12/2020,Loïc van Doorn,
"Centrochelys sulcata (Miller, 1779)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Centrochelys,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2017,2017,Vogelbescherming Vlaanderen,,Africa,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Testudo graeca (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,Europe | Africa | Asia,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Testudo hermanni (Gmelin, 1789)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2013,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",,Europe,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Testudo (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2019,Vogelbescherming Vlaanderen,,,TRUE,FALSE,FALSE,,,,12/23/2020,Loïc van Doorn,
"Apalone ferox (Schneider, 1783)",Animalia,Chordata,Reptilia,Testudines,Trionychidae,Apalone,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2020,2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Lacerta strigata (Eichwald, 1831)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2021,2021,Hyla werkgroep,,Asia,TRUE,FALSE,FALSE,,,,4/26/2021,Loïc van Doorn,
"Daboia palaestinae (Werner, 1938)",Animalia,Chordata,Reptilia,Squamata,Viperidae,Daboia,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2022,2022,"https://www.vrt.be/vrtnws/nl/2022/04/06/giftige-adder-pelt/#:~:text=De%20Palestijnse%20adder%20kroop%20rond,Belgi%C3%AB%20geen%20tegengif%20voor%20bestaat.&text=Dilissen%20Logistics%20in%20Pelt%20verwittigde,in%20een%20lading%20uit%20Isra%C3%ABl.",,Middle east,TRUE,FALSE,FALSE,,,,,Loïc van Doorn,
"Blanus (Wagler, 1830)",Animalia,Chordata,Reptilia,Squamata,Blanidae,Blanus,genus,ICZN,Flanders,BE,present,introduced,casual,,,,,2021,2021,personal communication,,Mediterranean,TRUE,FALSE,FALSE,,,,,Loïc van Doorn,
"Thamnophis sirtalis (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,genus,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2021,2021,Hyla werkgroep,,North America,TRUE,FALSE,TRUE,,,,,Loïc van Doorn,
"Xenopus laevis (Daudin, 1802)",Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,species,ICZN,Wallonia,BE,present,introduced,established,escape_research| escape_pet | release_other,research,pet,otherIntentionalRelease,2006,2022,Natagora,,Africa,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Lithobates catesbeianus (Shaw, 1802)",Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,species,ICZN,Wallonia,BE,present,introduced,established,escape_pet | release_other,pet,otherIntentionalRelease,,1992,2020,Natagora,,Eastern North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Pelophylax cf bedriagae (Camerano, 1882)",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,species,ICZN,Wallonia,BE,present,introduced,established,escape_pet | release_other,pet,otherIntentionalRelease,,,2020,Natagora,,Eastern and Southeastern mediterranean basin,TRUE,FALSE,TRUE,,,,9/15/2020,Loïc van Doorn,
"Pelophylax ridibundus (Pallas, 1771)",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,species,ICZN,Wallonia,BE,present,introduced,established,stowaway_other | escape_pet | release_other,transportStowaway,pet,otherIntentionalRelease,,2020,Natagora,,Europe | Asia,TRUE,FALSE,TRUE,,,,9/15/2020,Loïc van Doorn,
"Pogona vitticeps (Ahl, 1926)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,,,Natagora,,Australia,TRUE,FALSE,FALSE,,,,9/16/2020,Loïc van Doorn,
"Boa constrictor (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,,2022,Natagora,,South America,TRUE,FALSE,FALSE,,,,9/16/2020,Loïc van Doorn,
"Lampropeltis getula californiae (Blainville, 1835)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2019,2019,https://lameuse-namur.sudinfo.be/429768/article/2019-08-28/beaumont-les-pompiers-ont-capture-un-serpent,,North America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Pantherophis guttatus (Linnaeus, 1766)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2014,2019,Natagora,,North America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Pantherophis obsoletus (Say, 1823)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,,,Natagora,,North America,TRUE,FALSE,FALSE,,,,9/16/2020,Loïc van Doorn,
"Crotalus atrox (Baird & Girard, 1853)",Animalia,Chordata,Reptilia,Squamata,Crotalidae,Crotalus,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2019,2019,https://www.rtlnieuws.nl/nieuws/buitenland/artikel/4874306/belgische-brandweer-vindt-slangen-van-het-meest-giftige-soort,,North America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Natrix tessellata (Laurenti, 1768)",Animalia,Chordata,Reptilia,Squamata,Natricidae,Natrix,species,ICZN,Wallonia,BE,present,introduced,casual,,,,,,,Natagora,,Europe | Asia,TRUE,FALSE,TRUE,,,,9/16/2020,Loïc van Doorn,
"Tarentola mauritanica (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Phyllodactylidae,Tarentola,species,ICZN,Wallonia,BE,present,introduced,casual,,,,,2015,2018,Natagora,,Europe | Africa,TRUE,FALSE,FALSE,,,,9/15/2020,Loïc van Doorn,
"Python regius (Shaw, 1802)",Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,,,Natagora,,Africa,TRUE,FALSE,FALSE,,,,9/16/2020,Loïc van Doorn,
"Emys orbicularis (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Emys,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,,,Natagora,,Europe | Africa | Asia,TRUE,FALSE,TRUE,,,,9/16/2020,Loïc van Doorn,
"Graptemys pseudogeographica (Gray, 1831)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2013,2020,Natagora,,North America,TRUE,FALSE,TRUE,,,,9/15/2020,Loïc van Doorn,
"Trachemys scripta elegans (Wied, 1838)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2009,2018,Natagora,,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Trachemys scripta scripta (Schoepff, 1792)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2010,2018,Natagora,,North America,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Trachemys scripta troostii (Holbrook, 1836)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2018,2018,Natagora,,North America,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Testudo graeca (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2019,2020,Natagora,,Europe | Africa | Asia,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Testudo hermanni (Gmelin, 1789)",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Testudo,species,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,,,Natagora,,Europe,TRUE,FALSE,FALSE,,,,9/16/2020,Loïc van Doorn,
"Podarcis liolepis (Boulenger, 1905)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,species,ICZN,Wallonia,BE,present,introduced,casual,stowaway_other,transportStowaway,,,2011,2011,https://rainne.natagora.be/fileadmin/Rainne/Echo_des_rainettes/EDR_septembre_12.pdf,,France | Spain,TRUE,FALSE,FALSE,,,,4/26/2021,Loïc van Doorn,
"Hemidactylus turcicus (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,species,ICZN,Wallonia,BE,present,introduced,casual,,,,,2009,2009,https://rainne.natagora.be/fileadmin/Rainne/Echo_des_rainettes/EDR_septembre_12.pdf,,Europe | Africa | Asia,TRUE,FALSE,FALSE,,,,4/26/2021,Loïc van Doorn,
"Thamnophis sirtalis (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,genus,ICZN,Wallonia,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2022,2022,Natagora,,North America,TRUE,FALSE,TRUE,,,,,Loïc van Doorn,
"Calotes (Cuvier, 1817)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Calotes,genus,ICZN,Flanders,BE,present,introduced,casual,,,,,2022,2022,waarnemingen.be,,Asia,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Pantherophis spiloides (Duméril, Bibron and Duméril, 1854)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,species,ICZN,Flanders,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2022,2022,SOS reptiel,,North America,TRUE,FALSE,FALSE,,,,10/13/2022,Loïc van Doorn,
"Dryophytes japonicus (Günther, 1859)",Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2021,2021,SOS reptiel,,Asia,TRUE,FALSE,TRUE,,,,10/13/2022,Loïc van Doorn,
"Trimeresurus albolabris (Gray, 1842)",Animalia,Chordata,Reptilia,Squamata,Crotalidae,Trimeresurus,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2021,2021,SOS reptiel,,Asia,TRUE,FALSE,FALSE,,,,10/13/2022,Loïc van Doorn,
"Ctenosaura similis (Gray, 1831)",Animalia,Chordata,Reptilia,Squamata,Iguanidae,Ctneosaura,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2021,2022,SOS reptiel,,Central America,TRUE,FALSE,FALSE,,,,10/13/2022,Loïc van Doorn,
"Dolichophis caspius (Gmelin, 1789)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Dolichophis,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2021,2021,SOS reptiel,,Europe | Middle east,TRUE,FALSE,FALSE,,,,10/13/2022,Loïc van Doorn,
"Zamenis scalaris (Schinz, 1822)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Zamenis,species,ICZN,Flanders,BE,present,introduced,casual,,,,,2023,2023,waarnemingen.be,,Europe,TRUE,FALSE,FALSE,,,,1/7/2023,Loïc van Doorn,
"Leptodeira ashmeadii (Hallowell, 1845)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Leptodeira,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2023,2023,SOS reptiel,,Venezuela,TRUE,FALSE,FALSE,,,,1/7/2023,Loïc van Doorn,
"Lacerta bilineata (Daudin, 1802)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,species,ICZN,Flanders,BE,present,introduced,established,escape_pet | release_other,pet,otherIntentionalRelease,,2006,2023,waarnemingen.be,,Europe,TRUE,FALSE,FALSE,,,,7/11/2023,Loïc van Doorn,
"Naja subfulva (Laurent, 1995)",Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,species,ICZN,Flanders,BE,present,introduced,casual,stowaway_container,containerBulk,,,2023,2023,SOS reptiel,,Africa,TRUE,FALSE,FALSE,,,,8/12/2023,Loïc van Doorn,
